ROC-AUC,PR-AUC,AP,k_rate,k,precision,recall,f1
0.5299973621617495,0.04635143413268265,0.046352748992937995,0.005,138948,0.08650655996084894,0.011981658692185008,0.021048041892957923
0.5299973621617495,0.04635143413268265,0.046352748992937995,0.01,277896,0.08651406816194489,0.02396531100478469,0.03753345765387008
0.5299973621617495,0.04635143413268265,0.046352748992937995,0.02,555793,0.08344833418197063,0.046232057416267944,0.05949994643978517
0.5299973621617495,0.04635143413268265,0.046352748992937995,0.05,1389483,0.07036933881162993,0.09746511164274323,0.0817300076942913
